編號,店名,地址關鍵字
1,大內豆菜麵,台南市大內區
2,阿榮牛肉湯,台南市大內區
3,大內橋頭麵店,台南市大內區
4,大內無名麵店,台南市大內區
5,阿梅羊肉,台南市大內區
6,加油站麵攤,台南市大內區
7,阿財牛肉湯,台南市大內區
8,大內享點,台南市大內區
9,阿月肉粽,台南市大內區
10,大內香腸,台南市大內區
11,阿雪黑輪,台南市大內區
12,阿成臭豆腐,台南市大內區
13,阿輝黑輪,台南市大內區
14,阿鳳肉燥飯,台南市大內區
15,阿國米糕,台南市大內區
16,阿財碗粿,台南市大內區
17,阿枝雞排,台南市大內區
18,阿全肉圓,台南市大內區
19,阿雄麵線,台南市大內區
20,阿春肉圓,台南市大內區
21,阿昌蚵嗲,台南市大內區
22,阿吉煎餃,台南市大內區
23,阿隆米糕,台南市大內區
24,阿德肉燥飯,台南市大內區
25,阿財黑輪,台南市大內區
26,阿明麵攤,台南市大內區
27,阿發臭豆腐,台南市大內區
28,阿寶蚵仔煎,台南市大內區
29,阿春鹹酥雞,台南市大內區
30,大內芒果乾,台南市大內區
31,大內芒果冰,台南市大內區
32,大內芒果青,台南市大內區
33,大內芒果,台南市大內區
34,大內芒果冰棒,台南市大內區
35,大內冷飲,台南市大內區
36,大內飲料店,台南市大內區
37,大內茶飲,台南市大內區
38,大內咖啡,台南市大內區
39,大內果汁,台南市大內區
40,大內早餐店,台南市大內區
41,大內早點,台南市大內區
42,大內豆漿店,台南市大內區
43,大內漢堡,台南市大內區
44,大內蛋餅,台南市大內區
45,大內美而美,台南市大內區
46,大內中式早餐,台南市大內區
47,大內西式早餐,台南市大內區
48,大內傳統早餐,台南市大內區
